postcode,lat,lng,alt
NN18 0QT,-0.711514,52.481903,0
NN18 0RG,-0.702888,52.483787,0
NN18 0TH,-0.731369,52.483259,0
NN18 8AP,-0.707906,52.476901,0
NN18 8BH,-0.698682,52.481592,0
NN18 8DE,-0.710497,52.475904,0
NN18 8DF,-0.70849,52.476557,0
NN18 8DH,-0.710757,52.474046,0
NN18 8DJ,-0.700834,52.477543,0
NN18 8EH,-0.711228,52.47558,0
NN18 8EN,-0.700727,52.477173,0
NN18 8FT,-0.730332,52.45892,0
NN18 8GG,-0.67047,52.476637,0
NN18 8GJ,-0.673788,52.473547,0
NN18 8GP,-0.673334,52.475411,0
NN18 8HH,-0.709647,52.465682,0
NN18 8HP,-0.724384,52.46764,0
NN18 8HU,-0.729051,52.46101,0
NN18 8JL,-0.721749,52.46816,0
NN18 8JL,-0.721749,52.46816,0
NN18 8JL,-0.721749,52.46816,0
NN18 8JN,-0.726875,52.465491,0
NN18 8LB,-0.714723,52.472848,0
NN18 8NQ,-0.716097,52.467631,0
NN18 8NW,-0.708851,52.472272,0
NN18 8NZ,-0.705916,52.471449,0
NN18 8PU,-0.707003,52.468503,0
NN18 8PY,-0.699308,52.471367,0
NN18 8QQ,-0.706837,52.466136,0
NN18 8RE,-0.702367,52.467463,0
NN18 8RP,-0.705083,52.476259,0
NN18 8RQ,-0.705103,52.477562,0
NN18 8RW,-0.698211,52.477622,0
NN18 8SZ,-0.677716,52.487417,0
NN18 9AJ,-0.728445,52.478454,0
NN18 9AJ,-0.728445,52.478454,0
NN18 9AU,-0.723672,52.480551,0
NN18 9AU,-0.723672,52.480551,0
NN18 9AX,-0.723467,52.48001,0
NN18 9BG,-0.716664,52.480026,0
NN18 9BY,-0.734939,52.477964,0
NN18 9DJ,-0.728228,52.471664,0
NN18 9DJ,-0.728228,52.471664,0
NN18 9EA,-0.732106,52.474528,0
NN18 9EP,-0.738612,52.469959,0
NN18 9JJ,-0.719271,52.473914,0
NN18 9JS,-0.720152,52.473474,0
NN18 9ND,-0.706041,52.480234,0
NN18 9PF,-0.728363,52.468537,0
NN2 6BB,-0.901879,52.245798,0
NN2 6BB,-0.901879,52.245798,0
NN2 6BB,-0.901879,52.245798,0
NN2 6BB,-0.901879,52.245798,0
NN2 6BF,-0.897201,52.25016,0
NN2 6BY,-0.902264,52.247426,0
NN2 6EP,-0.897657,52.248923,0
NN2 6EY,-0.899314,52.250602,0
NN2 6HS,-0.900866,52.250634,0
NN2 6JA,-0.894095,52.249609,0
NN2 6JE,-0.894582,52.253561,0
NN2 6JF,-0.884882,52.251911,0
NN2 6JN,-0.890498,52.254637,0
NN2 6JX,-0.894714,52.25474,0
NN2 6JX,-0.894714,52.25474,0
NN2 6ND,-0.903517,52.254262,0
NN2 6NL,-0.902468,52.260503,0
NN2 6NP,-0.90252,52.255466,0
NN2 6NS,-0.898332,52.258909,0
NN2 6PD,-0.894767,52.256761,0
NN2 6PD,-0.894767,52.256761,0
NN2 6RE,-0.906789,52.259995,0
NN2 7AL,-0.883103,52.271992,0
NN2 7BL,-0.881895,52.251874,0
NN2 7BN,-0.885409,52.253688,0
NN2 7DR,-0.891314,52.268895,0
NN2 7DT,-0.872888,52.255801,0
NN2 7DT,-0.872888,52.255801,0
NN2 7FF,-0.894227,52.266106,0
NN2 7HT,-0.879917,52.255347,0
NN2 7HW,-0.877145,52.255461,0
NN2 7HY,-0.878715,52.254193,0
NN2 7JJ,-0.881438,52.252529,0
NN2 7NU,-0.879241,52.263567,0
NN2 7QL,-0.894516,52.259188,0
NN2 7QZ,-0.891449,52.263475,0
NN2 7SR,-0.895889,52.267625,0
NN2 7SW,-0.898706,52.266285,0
NN2 7TA,-0.894051,52.267842,0
NN2 7TA,-0.894051,52.267842,0
NN2 7TE,-0.894932,52.266627,0
NN2 7TL,-0.897153,52.263933,0
NN2 7TR,-0.891121,52.269586,0
NN2 8BL,-0.910987,52.269842,0
NN2 8BX,-0.910889,52.273258,0
NN2 8DL,-0.899765,52.266718,0
NN2 8DS,-0.913315,52.274116,0
NN2 8EA,-0.906552,52.275556,0
NN2 8ER,-0.905022,52.275784,0
NN2 8EW,-0.905826,52.277068,0
NN2 8HF,-0.909864,52.266011,0
NN2 8JD,-0.898603,52.268676,0
NN2 8NJ,-0.893985,52.273452,0
NN2 8PA,-0.898466,52.271848,0
