Postcode,Latitude,Longitude,Terminated,Population,Households,Built Up Area
NN8 5YA,52.31356,-0.703176,,29,10,Wellingborough
NN8 5YB,52.312494,-0.706786,,119,40,Wellingborough
NN8 5YD,52.310786,-0.701907,,125,58,Wellingborough
NN8 5YE,52.311779,-0.701453,,71,34,Wellingborough
NN8 5YF,52.311908,-0.702505,,34,10,Wellingborough
NN8 5YG,52.31347,-0.708019,,88,40,Wellingborough
NN8 5YH,52.31337,-0.71122,,66,25,Wellingborough
NN8 5YJ,52.313254,-0.712969,,73,32,Wellingborough
NN8 5YL,52.312821,-0.713701,,71,24,Wellingborough
NN8 5YN,52.31225,-0.711619,,48,20,Wellingborough
NN8 5YP,52.312236,-0.713615,,45,18,Wellingborough
NN8 5YQ,52.312351,-0.708448,,17,5,Wellingborough
NN8 5YR,52.312582,-0.708206,,77,31,Wellingborough
NN8 5YS,52.312791,-0.711706,,95,40,Wellingborough
NN8 5YT,52.312001,-0.710189,,23,11,Wellingborough
NN8 5YU,52.312408,-0.709605,,70,23,Wellingborough
NN8 5YW,52.312357,-0.710648,,41,14,Wellingborough
NN8 5YX,52.31323,-0.709904,,53,22,Wellingborough
NN8 5ZA,52.316977,-0.71468,,106,32,Wellingborough
NN8 5ZB,52.317435,-0.710501,,161,58,Wellingborough
NN8 5ZE,52.310131,-0.719265,,47,20,Wellingborough
NN8 5ZF,52.311222,-0.722094,,35,12,Wellingborough
NN8 5ZL,52.309232,-0.725099,,90,40,Wellingborough
NN8 5ZN,52.308727,-0.724938,,41,15,Wellingborough
NN8 5ZP,52.309473,-0.72499,,43,24,Wellingborough
NN8 5ZU,52.310776,-0.715769,,28,12,Wellingborough
NN8 6BS,52.310837,-0.747364,,7,3,
NN8 6BW,52.317501,-0.729908,,2,1,
NN8 6PF,52.313905,-0.717425,,25,11,Wellingborough
NN8 6UF,52.313097,-0.732514,,4,1,Wellingborough
NN8 6UW,52.311453,-0.732619,,1,1,Wellingborough
NN8 6XF,52.30977,-0.733327,,1,1,Wellingborough
NN8 6ZB,52.313299,-0.733799,,5,2,Wellingborough
NN9 5AA,52.328251,-0.709673,,8,4,
NN9 5AB,52.330083,-0.709487,,10,4,
NN9 5AD,52.328733,-0.70725,,18,7,
NN9 5AE,52.327776,-0.698402,,9,4,
NN9 5AF,52.329058,-0.711938,,42,15,
NN9 5AG,52.328982,-0.713232,,3,2,
NN9 5AH,52.335115,-0.731222,,4,2,Little Harrowden
NN9 5AJ,52.317449,-0.618732,,57,20,Irthlingborough
NN9 5AL,52.320833,-0.752364,,59,27,
NN9 5AN,52.323919,-0.773493,,2,1,
NN9 5AQ,52.335356,-0.699221,,1,1,
NN9 5AR,52.334774,-0.723426,,15,5,Little Harrowden
NN9 5AS,52.335745,-0.723763,,6,2,Little Harrowden
NN9 5AU,52.323132,-0.613405,,25,10,Irthlingborough
NN9 5AW,52.31939,-0.742619,,2,1,
NN9 5AX,52.335296,-0.725054,,15,6,Little Harrowden
NN9 5BA,52.336079,-0.722698,,104,43,Little Harrowden
NN9 5BB,52.335403,-0.722834,,81,36,Little Harrowden
NN9 5BD,52.333831,-0.724289,,80,38,Little Harrowden
NN9 5BE,52.333054,-0.725603,,18,9,Little Harrowden
NN9 5BF,52.340134,-0.592366,,2,1,Crow Hill Housing Estate
NN9 5BG,52.332385,-0.726929,,49,21,Little Harrowden
NN9 5BH,52.333745,-0.728841,,74,36,Little Harrowden
NN9 5BJ,52.333137,-0.730033,,128,65,Little Harrowden
NN9 5BL,52.334515,-0.726853,,67,27,Little Harrowden
NN9 5BN,52.336836,-0.722323,,4,1,Little Harrowden
NN9 5BP,52.338967,-0.710432,,53,21,
NN9 5BQ,52.33268,-0.728476,,41,20,Little Harrowden
NN9 5BS,52.339637,-0.704584,,18,6,
NN9 5BT,52.338255,-0.704552,,13,5,
NN9 5BU,52.341309,-0.696947,,3,1,
NN9 5BW,52.336141,-0.720964,,7,3,Little Harrowden
NN9 5BX,52.33691,-0.719253,,4,2,Little Harrowden
NN9 5BY,52.332665,-0.726216,,25,24,Little Harrowden
NN9 5BZ,52.335793,-0.721973,,10,4,Little Harrowden
NN9 5DA,52.332014,-0.728407,,14,7,Little Harrowden
NN9 5DE,52.327513,-0.615424,,39,15,Irthlingborough
NN9 5DF,52.340605,-0.649438,,37,24,Finedon
NN9 5DG,52.341504,-0.647033,,107,41,Finedon
NN9 5DJ,52.341243,-0.645456,,173,77,Finedon
NN9 5DL,52.341873,-0.644761,,43,18,Finedon
NN9 5DN,52.34147,-0.644113,,27,12,Finedon
NN9 5DP,52.337824,-0.648408,,97,45,Finedon
NN9 5DR,52.337184,-0.647502,,82,31,Finedon
NN9 5DS,52.338267,-0.647014,,33,13,Finedon
NN9 5DT,52.341103,-0.648983,,41,17,Finedon
NN9 5DU,52.342432,-0.648825,,84,37,Finedon
NN9 5DW,52.338877,-0.648449,,48,23,Finedon
NN9 5DX,52.33932,-0.649522,,14,7,Finedon
NN9 5DY,52.338939,-0.657034,,5,2,Finedon
NN9 5DZ,52.342046,-0.645695,,31,14,Finedon
NN9 5EA,52.338757,-0.659256,,10,4,Finedon
NN9 5EB,52.339518,-0.647108,,8,5,Finedon
